region,country,emissions (kt),source,type,segment,reason,baseYear,emissionsRank,energyRank,notes
Asia Pacific,India,20116.96,IEA,Agriculture,Total,All,2022-2023,3,4,"Estimates for emissions from end-uses (including for related emissions from bioenergy, other from oil and gas, other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy). Other estimates are an average based on: Hoesly, R., Smith, S. J., Ahsan, H., Prime, N., O'Rourke, P., Crippa, M., Klimont, Z., Guizzardi, D., Feng, L., Harkins, C., MCDONALD, B., & Wang, S. (2025). CEDS v_2025_03_18 Aggregate Data (v_2025_03_18) [Data set]. Zenodo. Available at: https://doi.org/10.5281/zenodo.15059443 ; Crippa, M., Guizzardi, D., Pagani, F., Banja, M., Muntean, M., Schaaf, E., Monforti-Ferrario, F., Becker, W., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Köykkä, J., Grassi, G., Rossi, S., Melo, J., Oom, D., Branco, A., San-Miguel, J., Manca, G., Pisoni, E., Vignati, E. and Pekar, F., GHG emissions of all world countries, Publications Office of the European Union, Luxembourg, 2024, doi:10.2760/4002897, JRC138862. Report available at: https://edgar.jrc.ec.europa.eu/report_2024;EDGAR (Emissions Database for Global Atmospheric Research) Community GHG Database, a collaboration between the European Commission, Joint Research Centre (JRC), the International Energy Agency (IEA), and comprising IEA-EDGAR CO2, EDGAR CH4, EDGAR N2O, EDGAR F-GASES version 2024 European Commission, JRC (Datasets). The complete citation of the EDGAR Community GHG Database is available in the 'Sources and References' section. Dataset available at: https://edgar.jrc.ec.europa.eu/dataset_ghg2024."
Asia Pacific,India,234.54,IEA,Energy,Abandoned facilities,All,2024,3,4,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Asia Pacific,India,4062.01,IEA,Energy,Bioenergy,All,2022-2023,3,4,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Asia Pacific,India,243.85,IEA,Energy,Coking coal,All,2024,3,4,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Asia Pacific,India,139.54,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2024,3,4,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Asia Pacific,India,198.7,IEA,Energy,Gas pipelines and LNG facilities,Vented,2024,3,4,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Asia Pacific,India,69.89,IEA,Energy,Offshore gas,Fugitive,2024,3,4,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Asia Pacific,India,157.6,IEA,Energy,Offshore gas,Vented,2024,3,4,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Asia Pacific,India,57.85,IEA,Energy,Offshore oil,Flared,2024,3,4,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Asia Pacific,India,71.2,IEA,Energy,Offshore oil,Fugitive,2024,3,4,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
