Entity,Code,Year,Annual CO₂ emissions from coal
Afghanistan,AFG,1949,14656
Afghanistan,AFG,1950,21068
Afghanistan,AFG,1951,25648
Afghanistan,AFG,1952,31707.998
Afghanistan,AFG,1953,37949
Afghanistan,AFG,1954,42502
Afghanistan,AFG,1955,62288
Afghanistan,AFG,1956,62288
Afghanistan,AFG,1957,76944
Afghanistan,AFG,1958,91600
Afghanistan,AFG,1959,109920
Afghanistan,AFG,1960,127115
Afghanistan,AFG,1961,175872
Afghanistan,AFG,1962,296784
Afghanistan,AFG,1963,263808
Afghanistan,AFG,1964,300448
Afghanistan,AFG,1965,381056
Afghanistan,AFG,1966,428688
Afghanistan,AFG,1967,399376
Afghanistan,AFG,1968,332429
Afghanistan,AFG,1969,362736
Afghanistan,AFG,1970,436974
Afghanistan,AFG,1971,359072
Afghanistan,AFG,1972,190528
Afghanistan,AFG,1973,310745
Afghanistan,AFG,1974,304695
Afghanistan,AFG,1975,398689
Afghanistan,AFG,1976,425024
Afghanistan,AFG,1977,450672
Afghanistan,AFG,1978,576226
Afghanistan,AFG,1979,351744
Afghanistan,AFG,1980,315762
Afghanistan,AFG,1981,333424
Afghanistan,AFG,1982,384720
Afghanistan,AFG,1983,384720
Afghanistan,AFG,1984,392556
Afghanistan,AFG,1985,399794
Afghanistan,AFG,1986,425024
Afghanistan,AFG,1987,442824
Afghanistan,AFG,1988,366400
Afghanistan,AFG,1989,337088
Afghanistan,AFG,1990,278464
Afghanistan,AFG,1991,249627
Afghanistan,AFG,1992,21984
Afghanistan,AFG,1993,18320
Afghanistan,AFG,1994,14693
Afghanistan,AFG,1995,14656
Afghanistan,AFG,1996,7328
Afghanistan,AFG,1997,3664
Afghanistan,AFG,1998,3664
Afghanistan,AFG,1999,3664
Afghanistan,AFG,2000,3664
Afghanistan,AFG,2001,69616
Afghanistan,AFG,2002,54960
Afghanistan,AFG,2003,91600
Afghanistan,AFG,2004,91600
Afghanistan,AFG,2005,106256
Afghanistan,AFG,2006,160944
Afghanistan,AFG,2007,747456
Afghanistan,AFG,2008,1077216
Afghanistan,AFG,2009,1513232
Afghanistan,AFG,2010,2246032
Afghanistan,AFG,2011,3749476
Afghanistan,AFG,2012,2821280
Afghanistan,AFG,2013,2970278
Afghanistan,AFG,2014,3238976
Afghanistan,AFG,2015,2439270
Afghanistan,AFG,2016,2420868
Afghanistan,AFG,2017,2893420
Afghanistan,AFG,2018,3220656
Afghanistan,AFG,2019,3273106
Afghanistan,AFG,2020,3634688
Afghanistan,AFG,2021,2993488
Afghanistan,AFG,2022,3488128
Afghanistan,AFG,2023,3866678
Afghanistan,AFG,2024,3894407
Africa,,1884,21984
Africa,,1885,36640
Africa,,1886,47632
Africa,,1887,47632
Africa,,1888,80608
Africa,,1889,131904
Africa,,1890,296784
Africa,,1891,296784
Africa,,1892,479984
Africa,,1893,1799024
Africa,,1894,2432896
Africa,,1895,3337904
Africa,,1896,4257568
Africa,,1897,4777856
Africa,,1898,6049264
Africa,,1899,5517984
Africa,,1900,2330304
Africa,,1901,3909488
Africa,,1902,5825760
Africa,,1903,7895920
Africa,,1904,8910848
Africa,,1905,10262864
Africa,,1906,11717472
Africa,,1907,12930256
Africa,,1908,13402912
Africa,,1909,15385136
Africa,,1910,17411328
Africa,,1911,16854400
Africa,,1912,17869328
Africa,,1913,19565760
Africa,,1914,19243328
Africa,,1915,19514464
Africa,,1916,23072208
Africa,,1917,24918864
Africa,,1918,23856304
Africa,,1919,24750932
Africa,,1920,27593584
Africa,,1921,27425040
Africa,,1922,23435402
Africa,,1923,28571872
Africa,,1924,30126222
Africa,,1925,31623984
Africa,,1926,33902990
Africa,,1927,33269120
Africa,,1928,33815056
Africa,,1929,34589910
Africa,,1930,32554640
Africa,,1931,28307124
Africa,,1932,25354880
Africa,,1933,27290204
Africa,,1934,31323508
Africa,,1935,34742940
Africa,,1936,37764850
Africa,,1937,40582330
Africa,,1938,42559696
Africa,,1939,43957376
Africa,,1940,46039320
Africa,,1941,49442016
Africa,,1942,54303980
Africa,,1943,55236530
Africa,,1944,61370588
Africa,,1945,62303170
Africa,,1946,62937748
Africa,,1947,62414836
Africa,,1948,64359092
Africa,,1949,68580430
Africa,,1950,68866190
Africa,,1951,72675500
Africa,,1952,79331280
Africa,,1953,79031190
Africa,,1954,81751460
Africa,,1955,91667560
Africa,,1956,95583120
Africa,,1957,99291560
Africa,,1958,103144250
Africa,,1959,101675750
Africa,,1960,103525576
Africa,,1961,105003010
Africa,,1962,106668824
Africa,,1963,109186570
Africa,,1964,115604430
Africa,,1965,124891080
Africa,,1966,123843820
Africa,,1967,127101050
Africa,,1968,132504056
Africa,,1969,135191330
Africa,,1970,140100460
Africa,,1971,149912160
Africa,,1972,153929400
Africa,,1973,154291950
Africa,,1974,157244400
Africa,,1975,162189950
Africa,,1976,171910020
Africa,,1977,176696930
Africa,,1978,178679440
Africa,,1979,197366240
Africa,,1980,212400670
Africa,,1981,237344160
Africa,,1982,250235650
Africa,,1983,260947090
Africa,,1984,286066370
Africa,,1985,294700860
Africa,,1986,305791040
Africa,,1987,312524580
Africa,,1988,322726180
Africa,,1989,313485150
Africa,,1990,295752770
Africa,,1991,306503330
Africa,,1992,288343100
Africa,,1993,318592200
Africa,,1994,330425760
Africa,,1995,346602100
Africa,,1996,352715000
Africa,,1997,360172740
Africa,,1998,354765060
Africa,,1999,365702000
Africa,,2000,369389900
Africa,,2001,371111000
Africa,,2002,360107200
Africa,,2003,389992420
Africa,,2004,416820100
Africa,,2005,411531900
Africa,,2006,417738180
Africa,,2007,428637570
Africa,,2008,452892100
Africa,,2009,422720220
Africa,,2010,441332130
Africa,,2011,431856480
Africa,,2012,431065950
Africa,,2013,425584450
Africa,,2014,453966850
Africa,,2015,428488300
Africa,,2016,424532930
Africa,,2017,418783330
Africa,,2018,446359970
Africa,,2019,468423680
Africa,,2020,430713570
Africa,,2021,433185950
Africa,,2022,426734900
Africa,,2023,436679700
Africa,,2024,445053400
Albania,ALB,1933,0
Albania,ALB,1934,0
Albania,ALB,1935,0
Albania,ALB,1936,0
Albania,ALB,1937,0
Albania,ALB,1938,0
Albania,ALB,1939,0
Albania,ALB,1940,0
Albania,ALB,1941,0
Albania,ALB,1942,0
Albania,ALB,1943,0
Albania,ALB,1944,0
Albania,ALB,1945,0
Albania,ALB,1946,21984
Albania,ALB,1947,0
Albania,ALB,1948,7328
Albania,ALB,1949,0
Albania,ALB,1950,43432
Albania,ALB,1951,73280
Albania,ALB,1952,76197
Albania,ALB,1953,113584
Albania,ALB,1954,157552
Albania,ALB,1955,219840
Albania,ALB,1956,249152
Albania,ALB,1957,274800
Albania,ALB,1958,289456
Albania,ALB,1959,337088
Albania,ALB,1960,326096
Albania,ALB,1961,321914
Albania,ALB,1962,362736
Albania,ALB,1963,282128
Albania,ALB,1964,333424
Albania,ALB,1965,395046
Albania,ALB,1966,477005
Albania,ALB,1967,523952
Albania,ALB,1968,589904
Albania,ALB,1969,688832
Albania,ALB,1970,891225
Albania,ALB,1971,989280
Albania,ALB,1972,1080880
